916,132,-17620,-212,-57,-37,41,194,-624
900,156,-17532,-297,1,-52,41,194,-624
860,-4,-17512,-368,-4,-80,41,194,-624
860,-4,-17512,-368,-4,-80,41,194,-624
832,156,-17516,-432,11,-83,41,194,-624
756,168,-17472,-428,32,-78,41,194,-624
676,188,-17396,-411,22,-84,41,194,-624
728,40,-17408,-377,42,-64,41,194,-624
888,204,-17404,-317,-39,-74,41,194,-624
776,72,-17384,-209,-90,-68,41,194,-624
716,76,-17328,-155,-92,-68,41,194,-624
720,76,-17284,-153,-87,-46,47,203,-631
752,0,-17372,-186,-32,-51,47,203,-631
572,132,-17332,-299,31,-76,47,203,-631
652,128,-17532,-316,68,-88,47,203,-631
784,148,-17328,-332,79,-97,47,203,-631
664,164,-17496,-310,71,-107,47,203,-631
732,96,-17500,-289,121,-73,47,203,-631
580,-48,-17364,-320,151,-75,47,203,-631
728,184,-17400,-340,169,-43,47,203,-631
704,148,-17576,-339,139,-39,47,203,-631
764,184,-17680,-354,130,-43,47,203,-631
724,160,-17592,-309,75,-67,47,203,-631
720,184,-17572,-266,66,-47,47,203,-631
736,64,-17372,-245,136,-32,47,203,-631
708,48,-17644,-310,118,-34,47,203,-631
764,164,-17512,-328,111,-45,47,203,-631
824,296,-17444,-340,133,-52,47,203,-631
656,124,-17560,-351,73,-71,47,203,-631
804,276,-17448,-331,8,-72,47,203,-631
828,232,-17464,-274,-10,-102,47,203,-631
772,48,-17468,-232,-24,-92,47,203,-631
720,96,-17420,-267,40,-103,47,203,-631
692,-76,-17448,-301,75,-91,47,203,-631
752,44,-17512,-337,113,-64,47,203,-631
724,56,-17428,-329,143,-30,47,203,-631
720,-44,-17316,-280,182,39,47,203,-631
796,160,-17436,-283,214,29,47,203,-631
752,276,-17540,-256,236,38,47,203,-631
676,264,-17452,-248,240,-1,47,203,-631
908,200,-17484,-239,203,-31,47,203,-631
744,328,-17464,-211,142,-73,47,203,-631
932,172,-17616,-177,56,-73,47,203,-631
848,116,-17624,-133,5,-60,47,203,-631
884,152,-17592,-149,-23,-63,43,191,-619
840,208,-17472,-196,-44,-51,43,191,-619
836,112,-17488,-229,-15,-55,43,191,-619
728,32,-17548,-265,-28,-64,43,191,-619
720,48,-17436,-268,1,-44,43,191,-619
864,68,-17372,-275,32,-50,43,191,-619
732,72,-17376,-275,33,-54,43,191,-619
836,172,-17584,-293,91,-54,43,191,-619
796,60,-17516,-308,101,-19,43,191,-619
860,144,-17532,-340,49,-55,43,191,-619
888,108,-17596,-372,-37,-88,43,191,-619
956,148,-17324,-344,-85,-112,43,191,-619
848,160,-17540,-349,-127,-107,43,191,-619
