27992,84,-4296,2706,-32768,-32768,537,231,-67
25064,-1984,-3312,1554,-32768,-32768,537,231,-67
21972,-2704,-1836,-740,-32768,-32768,537,231,-67
19376,-4424,-760,-4181,-32768,-32768,537,231,-67
18164,-2040,-1572,-5489,-32768,-32768,537,231,-67
16336,-472,-2608,-6749,-32768,-32768,537,231,-67
14512,912,-3220,-7922,-32768,-32768,537,231,-67
13016,3732,-3840,-7474,-32768,-32768,537,231,-67
11320,6156,-6460,-5734,-32768,-32768,537,231,-67
8960,7300,-9316,-3912,-32768,-32768,537,231,-67
8568,7716,-10884,-3268,-32768,-32298,248,435,-352
9452,7536,-11368,-3988,-32768,-30025,248,435,-352
9532,7776,-12208,-4724,-32768,-28089,248,435,-352
8992,7536,-13276,-5354,-32768,-26300,248,435,-352
8688,8280,-14436,-4355,-32768,-24659,248,435,-352
8336,7044,-15500,-3270,-32768,-23114,248,435,-352
8864,4420,-16164,-2442,-32768,-20947,248,435,-352
8176,640,-18892,-4727,-32768,-18871,248,435,-352
7476,2128,-18164,-7483,-32768,-17095,248,435,-352
5712,5076,-16984,-7503,-32768,-15407,248,435,-352
3876,7112,-13596,-6010,-32768,-14172,248,435,-352
3876,6796,-11800,-3176,-32768,-12304,248,435,-352
1796,3272,-11480,-1993,-30978,-10118,248,435,-352
1604,2168,-11804,-3437,-26326,-7953,248,435,-352
1608,3020,-12460,-5850,-22474,-6653,248,435,-352
2020,5176,-13168,-6702,-19633,-5421,10,491,-389
1268,6780,-13908,-5864,-17232,-4436,10,491,-389
1668,7028,-14120,-4410,-15231,-3522,10,491,-389
1188,7300,-13476,-2579,-13547,-2812,10,491,-389
860,6664,-13040,-1969,-11810,-2167,10,491,-389
252,6952,-12664,-1483,-10135,-1576,10,491,-389
276,7020,-12708,-1220,-8606,-1156,10,491,-389
-76,7176,-13096,-1058,-7327,-1010,10,491,-389
-76,7516,-13788,-1090,-6263,-822,10,491,-389
36,7704,-14348,-1089,-5534,-653,10,491,-389
172,7688,-15120,-1300,-5149,-577,10,491,-389
172,7960,-15836,-1284,-5004,-458,10,491,-389
120,8160,-15620,-1219,-4975,-315,10,491,-389
-148,8424,-15792,-1012,-5028,-158,10,491,-389
-44,8340,-15420,-798,-5005,-50,10,491,-389
-540,7972,-15108,-1075,-4892,24,-34,487,-380
-580,7912,-14640,-1331,-4547,234,-34,487,-380
-1020,8156,-14208,-1373,-4103,416,-34,487,-380
-1212,8652,-13792,-1227,-3863,471,-34,487,-380
-776,9016,-13396,-1189,-3896,573,-34,487,-380
-1472,9208,-13608,-1223,-3636,499,-34,487,-380
-1232,9592,-13408,-1551,-3468,246,-34,487,-380
-1336,9904,-13648,-1776,-3427,21,-34,487,-380
-1388,10064,-13532,-1799,-3287,-247,-34,487,-380
-1484,9964,-13460,-1774,-3045,-447,-34,487,-380
-1796,9468,-13148,-1854,-2717,-563,-34,487,-380
-1632,9244,-12868,-2040,-2297,-546,-34,487,-380
-1628,8864,-12480,-2222,-1855,-466,-34,487,-380
-1868,8504,-12108,-2403,-1225,-272,-34,487,-380
-1804,8548,-11912,-2505,-641,7,-34,487,-380
-2024,8568,-11456,-2547,148,296,-34,487,-380
-2136,8600,-11488,-2699,974,635,-37,501,-364
-1800,9144,-10500,-2475,1410,770,-37,501,-364
-1696,9536,-11188,-1851,1627,745,-37,501,-364
-1900,9696,-12008,-1008,2047,760,-37,501,-364
-1636,9660,-12384,-194,2413,874,-37,501,-364
-1580,9328,-12992,265,2721,1062,-37,501,-364
-1436,9108,-13344,542,3033,1336,-37,501,-364
-1360,9024,-13444,753,3327,1571,-37,501,-364
-1244,9068,-13640,987,3564,1744,-37,501,-364
-1076,8944,-13568,1253,3733,1877,-37,501,-364
-1108,8736,-13616,1353,3888,2026,-37,501,-364
-964,8796,-13556,1212,4106,2172,-37,501,-364
-868,8924,-13364,946,4263,2204,-37,501,-364
-724,9360,-13512,995,4260,2152,-37,501,-364
-732,9796,-13500,1248,4092,1945,-37,501,-364
-588,9928,-13952,1420,3822,1656,-21,506,-372
-376,9896,-14560,1546,3596,1385,-21,506,-372
-500,9556,-14788,1534,3530,1217,-21,506,-372
-240,9500,-15292,1233,3341,1131,-21,506,-372
-236,9664,-15520,961,2942,965,-21,506,-372
-76,9640,-15308,633,2579,735,-21,506,-372
-168,9612,-15272,423,2293,518,-21,506,-372
-372,9480,-15108,122,2162,355,-21,506,-372
-316,9184,-14828,-118,2081,263,-21,506,-372
-144,8952,-14812,-367,2214,268,-21,506,-372
-212,8820,-14644,-455,2482,381,-21,506,-372
-248,8576,-14756,-683,2741,697,-21,506,-372
40,8440,-14584,-1014,2755,925,-21,506,-372
-4,8564,-14808,-1044,2731,1110,-21,506,-372
264,8512,-14548,-990,2707,1306,-21,506,-372
-108,8880,-14592,-577,2890,1600,-21,506,-372
-136,8748,-14532,-512,3179,1824,-11,488,-377
68,8792,-14464,-476,3513,2078,-11,488,-377
-116,8724,-14700,-424,4008,2376,-11,488,-377
128,8924,-14340,-215,4375,2679,-11,488,-377
60,9000,-14348,-74,4811,2957,-11,488,-377
164,9304,-13740,230,5411,3170,-11,488,-377
92,9684,-13376,903,5975,3199,-11,488,-377
-40,9568,-13268,1183,6780,3332,-11,488,-377
-24,9476,-13024,1404,7809,3496,-11,488,-377
-108,9396,-13196,1368,8906,3722,-11,488,-377
132,9268,-13152,1373,10159,3981,-11,488,-377
436,9128,-13028,1651,11709,4263,-11,488,-377
932,8972,-13452,2185,13744,4656,-11,488,-377
1196,8456,-13996,2740,16252,5426,-11,488,-377
1916,7616,-14672,2967,19139,6636,-11,488,-377
2328,7424,-15244,2845,21973,7995,45,488,-374
3060,7416,-15836,2592,24764,9385,45,488,-374
3632,7948,-16520,2134,27426,10933,45,488,-374
4384,8504,-16712,2134,29623,12291,45,488,-374
5076,8652,-17020,2057,31505,13483,45,488,-374
5892,9128,-17416,2054,32767,14501,45,488,-374
6548,9216,-17028,2664,32767,15511,45,488,-374
6740,8980,-16648,2313,32767,16814,45,488,-374
7044,8168,-16128,1730,32767,17950,45,488,-374
7652,7660,-16268,668,32767,18899,45,488,-374
8440,7488,-16004,-491,32767,19786,45,488,-374
7860,7892,-15844,-1471,32767,20379,45,488,-374
8956,8508,-15464,-2640,32767,20619,45,488,-374
8700,9540,-14884,-3502,32767,20479,45,488,-374
8940,10168,-15100,-3734,32767,20165,45,488,-374
9488,10728,-15108,-3441,32767,19651,238,459,-338
9396,11124,-15388,-2540,32767,19013,238,459,-338
10720,10816,-15564,-1802,32767,18720,238,459,-338
10264,10408,-15516,-1018,32767,18499,238,459,-338
11104,9204,-15708,-850,32767,18835,238,459,-338
12164,8624,-15608,-331,32767,19420,238,459,-338
11908,7316,-15668,202,32767,20348,238,459,-338
12984,6304,-15600,-34,32767,21246,238,459,-338
13448,5332,-15244,-829,32767,22254,238,459,-338
14656,4868,-14908,-1692,32767,23083,238,459,-338
15020,4508,-13940,-2617,32767,23778,238,459,-338
15468,4912,-13472,-3371,32767,24158,238,459,-338
15432,4920,-13084,-4031,32767,24551,238,459,-338
15316,5140,-12544,-4308,32767,24610,238,459,-338
15108,5688,-11844,-5032,32767,24355,238,459,-338
15000,6200,-11116,-5813,32767,23865,422,372,-231
14940,6988,-10812,-6065,31862,23238,422,372,-231
14204,7588,-9776,-5669,31456,22754,422,372,-231
14416,7568,-9128,-4425,31071,22251,422,372,-231
14496,6748,-8660,-2891,30516,21943,422,372,-231
14048,6452,-8668,-1442,30354,21954,422,372,-231
13484,5268,-8184,-861,31006,22355,422,372,-231
12988,4364,-7612,-547,32027,22570,422,372,-231
13064,3652,-7116,-306,32767,22148,422,372,-231
12944,3964,-6260,315,32767,21439,422,372,-231
13120,4168,-5672,849,32767,21321,422,372,-231
12780,4100,-5412,1368,32626,21408,422,372,-231
13148,3780,-5140,1777,31668,21086,422,372,-231
13200,3620,-5592,2207,30445,20945,422,372,-231
14084,2724,-6264,2671,29278,22169,422,372,-231
14376,1996,-6784,2089,27836,21972,534,270,-100
14120,2372,-6956,730,27080,21129,534,270,-100
14348,2992,-7080,-225,26640,20683,534,270,-100
14340,3840,-7352,-317,26419,20423,534,270,-100
14916,4224,-7624,38,26732,20346,534,270,-100
15280,4608,-7756,813,26749,20389,534,270,-100
14288,5004,-6756,2041,26588,20801,534,270,-100
13172,4728,-5704,3712,26587,21495,534,270,-100
11888,4100,-4824,5361,26815,21891,534,270,-100
11340,2900,-4404,6920,27118,21895,534,270,-100
10476,1852,-4168,7547,27535,21559,534,270,-100
10732,1876,-4228,7199,27762,20565,534,270,-100
10596,1872,-3664,6973,28139,19573,534,270,-100
10764,1492,-3728,6503,28171,18588,534,270,-100
11940,1164,-4020,5276,27712,17900,534,270,-100
12784,1432,-3700,4161,26503,17263,590,163,17
12724,1748,-3480,3281,25431,16464,590,163,17
12688,2376,-3516,2384,25006,15535,590,163,17
13340,2684,-3588,1843,24269,14640,590,163,17
12640,3124,-3480,1881,23720,13695,590,163,17
12916,2104,-3388,1760,24550,13533,590,163,17
13168,2192,-3040,1784,24188,12993,590,163,17
13848,1896,-2684,1347,23376,12181,590,163,17
13672,1700,-2140,956,22681,11528,590,163,17
14508,2088,-2136,956,20913,10933,590,163,17
14412,1356,-2008,358,19862,10226,590,163,17
14464,1156,-2036,-203,18583,9398,590,163,17
14388,1316,-1964,-589,17363,8715,590,163,17
13816,1476,-1836,-627,16927,7956,590,163,17
14060,2560,-1692,-556,16172,7213,590,163,17
13396,1472,-1696,-544,15559,6475,590,163,17
13252,1080,-1652,-1344,14700,5734,578,87,114
12236,1232,-1512,-1877,14336,4801,578,87,114
11796,1720,-1252,-2093,13775,3985,578,87,114
11408,1596,-1340,-2482,14276,3337,578,87,114
10996,2184,-1040,-2656,14423,2686,578,87,114
11220,2448,-1084,-2535,14790,2243,578,87,114
11496,2660,-1088,-2529,14641,1785,578,87,114
11980,3032,-848,-2460,14485,1612,578,87,114
12028,3972,-524,-1870,14227,1472,578,87,114
13004,4148,-900,-1323,13903,1510,578,87,114
13388,4396,-732,-957,12838,1567,578,87,114
13484,4540,-1136,52,12698,1775,578,87,114
14204,3896,-1060,655,11786,1738,578,87,114
13520,3804,-708,1512,11301,1744,578,87,114
13972,3476,-496,1848,10963,1601,578,87,114
14540,2832,-184,1552,9533,1115,548,80,184
12988,2952,336,1846,8844,654,548,80,184
13360,2656,652,1660,8462,149,548,80,184
13472,2604,440,1463,7741,-308,548,80,184
12952,2572,736,1260,7118,-487,548,80,184
13424,2844,856,1614,6719,-670,548,80,184
14220,3176,1452,1640,5462,-724,548,80,184
14268,3248,1344,1706,3896,-789,548,80,184
14776,3856,1820,1555,1788,-1122,548,80,184
14996,4584,2012,1478,-445,-1405,548,80,184
15396,5032,1848,1802,-3385,-1783,548,80,184
16444,5400,1220,2191,-6322,-2434,548,80,184
17668,5728,596,2320,-9547,-3315,548,80,184
20264,5852,-576,2311,-13436,-4232,548,80,184
23596,6184,-1904,2338,-18299,-4786,548,80,184
26844,6724,-3524,3037,-24630,-5806,548,80,184
30008,7276,-5060,4025,-31961,-7099,554,96,169
31968,7368,-6108,5139,-32768,-8907,554,96,169
32632,7388,-6356,6504,-32768,-12021,554,96,169
32264,6808,-5536,7461,-32768,-16441,554,96,169
30480,5580,-4068,8208,-32768,-21688,554,96,169
27500,3484,-2584,9345,-32768,-27750,554,96,169
25212,2036,-1172,7951,-32768,-32768,554,96,169
23420,-248,-132,5876,-32768,-32768,554,96,169
25404,-972,-2324,1464,-32768,-32768,554,96,169
24900,3136,-3044,1220,-32768,-32768,554,96,169
22024,908,-7236,-1225,-32768,-32768,554,96,169
19468,836,-6024,-6254,-32768,-32768,554,96,169
21928,3288,-5104,-3932,-32768,-32768,554,96,169
22956,1900,-5832,-1627,-32768,-32768,554,96,169
22468,1648,-7232,-1953,-32768,-32768,554,96,169
18320,-468,-6852,-3641,-32768,-32768,501,288,-183
19504,428,-8028,-5450,-32768,-32768,501,288,-183
19972,-360,-7036,-7521,-32768,-32768,501,288,-183
19864,-1384,-5092,-9762,-32768,-32768,501,288,-183
20348,-1208,-2684,-10878,-32768,-32768,501,288,-183
18700,-328,-2036,-9875,-32768,-32768,501,288,-183
16084,292,-1712,-7696,-32768,-32768,501,288,-183
12472,1000,-2492,-4686,-32768,-32768,501,288,-183
9852,1840,-4996,-2570,-32768,-32768,501,288,-183
8036,1800,-6828,-1776,-32768,-32768,501,288,-183
6748,2724,-6032,-1427,-32768,-28775,501,288,-183
5376,2936,-7260,-1392,-32768,-23390,501,288,-183
7356,3344,-8668,-1800,-32768,-19356,501,288,-183
5320,5048,-11580,-1918,-27607,-15239,501,288,-183
6888,5888,-13084,-1305,-20547,-12141,501,288,-183
5548,6608,-15392,-413,-15496,-9071,162,462,-358
7824,6500,-16372,29,-11719,-7060,162,462,-358
7496,6196,-17916,275,-9925,-5298,162,462,-358
7264,6056,-19028,-169,-8317,-3603,162,462,-358
8420,5804,-19268,-813,-7653,-2843,162,462,-358
7976,5856,-19512,-1597,-7165,-1765,162,462,-358
7928,6304,-18480,-1731,-6656,-1394,162,462,-358
7344,6916,-18320,-1605,-6700,-707,162,462,-358
6876,7140,-17444,-1309,-6036,-435,162,462,-358
6380,7336,-16748,-1009,-5991,-71,162,462,-358
5860,7192,-16228,-1148,-5503,414,162,462,-358
5544,7284,-15844,-1102,-5118,594,162,462,-358
5220,7392,-15076,-891,-4666,911,162,462,-358
5008,7644,-14588,19,-4055,1163,162,462,-358
4468,7200,-14184,437,-3064,1533,162,462,-358
4236,7084,-13720,309,-2016,1861,132,475,-374
3764,7100,-13964,-58,-830,2130,132,475,-374
3700,7316,-13720,-500,-56,2285,132,475,-374
3548,7624,-13916,-780,511,2371,132,475,-374
3320,7860,-13912,-1029,950,2399,132,475,-374
3260,8156,-13772,-1035,1169,2262,132,475,-374
3120,8464,-13756,-780,1402,2187,132,475,-374
3064,8476,-13576,-650,1613,2205,132,475,-374
3160,8600,-13340,-393,1604,2022,132,475,-374
3024,8788,-13808,-35,1683,1975,132,475,-374
3016,8796,-14156,79,1870,1972,132,475,-374
3020,9020,-14372,16,1879,1871,132,475,-374
3096,9264,-14836,-79,1643,1711,132,475,-374
3344,9352,-15316,-64,1204,1519,132,475,-374
3572,9260,-15484,-14,728,1381,132,475,-374
3700,9076,-15540,-49,239,1301,132,453,-376
3544,9280,-15496,-256,-136,1185,141,453,-376
3396,9428,-15280,-576,-487,1032,141,453,-376
3664,9792,-14812,-705,-1022,750,141,453,-376
3236,9960,-14520,-550,-1422,439,141,453,-376
3264,9464,-14372,-414,-1519,238,141,453,-376
3096,8984,-14060,-418,-1477,151,141,453,-376
3080,8664,-13976,-690,-1277,154,141,453,-376
3060,8752,-13972,-986,-991,189,141,453,-376
3100,8624,-13972,-1198,-730,272,141,453,-376
3132,8800,-13716,-1221,-508,355,141,453,-376
2840,9036,-13716,-1222,-246,438,141,453,-376
2792,8972,-13636,-1234,4,501,141,453,-376
2900,8892,-13684,-1269,141,579,141,453,-376
3348,9176,-13340,-974,-124,470,141,453,-376
3416,9424,-13676,-293,-821,196,141,453,-376
3500,9240,-13672,307,-1063,216,145,463,-366
3348,8868,-14032,564,-1001,254,145,463,-366
3304,8516,-13868,455,-809,368,145,463,-366
3396,8540,-13984,349,-509,467,145,463,-366
3232,8572,-13728,373,-283,547,145,463,-366
3208,8560,-14064,358,3,603,145,463,-366
3212,8780,-14072,273,180,629,145,463,-366
3248,8904,-14168,152,283,562,145,463,-366
3416,9212,-14508,97,161,397,145,463,-366
3752,9276,-14256,320,-291,174,145,463,-366
3904,9212,-14728,537,-629,-13,145,463,-366
3872,8956,-14856,701,-720,-92,145,463,-366
3888,8736,-14960,754,-730,-123,145,463,-366
3928,8672,-14984,698,-756,-119,145,463,-366
3864,8388,-14884,610,-713,-69,145,463,-366
3812,8488,-14828,341,-612,-122,145,463,-366
3928,8624,-14864,34,-533,-238,146,469,-372
3908,8756,-14948,-128,-538,-379,146,469,-372
3936,8732,-14772,-241,-789,-528,146,469,-372
3836,8808,-14956,-304,-1143,-699,146,469,-372
3968,8964,-14436,-158,-1578,-915,146,469,-372
4156,8312,-14284,118,-1986,-998,146,469,-372
4032,7836,-14244,154,-2028,-875,146,469,-372
3820,7572,-14372,34,-1766,-645,146,469,-372
3892,7652,-14228,-85,-1494,-452,146,469,-372
3712,8020,-14568,-101,-1363,-322,146,469,-372
3756,8376,-14600,-107,-1291,-247,146,469,-372
3632,8704,-14764,-44,-1211,-254,146,469,-372
3732,9100,-14804,49,-1260,-393,146,469,-372
3812,9100,-14936,278,-1397,-572,146,469,-372
3928,8904,-15092,427,-1561,-717,146,469,-372
3884,8596,-15120,423,-1580,-776,135,456,-380
3676,8548,-15068,373,-1446,-737,135,456,-380
3640,8264,-15144,327,-1304,-662,135,456,-380
3668,8168,-15164,162,-1216,-577,135,456,-380
3556,8260,-15128,21,-1261,-565,135,456,-380
3708,8668,-15300,203,-1730,-682,135,456,-380
3740,8760,-15324,456,-2224,-832,135,456,-380
3616,8700,-15296,710,-2773,-931,135,456,-380
3636,8616,-15308,801,-3108,-1032,135,456,-380
3376,8484,-15228,692,-3294,-1134,135,456,-380
3260,8224,-15184,496,-3315,-1100,135,456,-380
3096,8168,-14976,519,-3063,-964,135,456,-380
2972,7884,-14636,453,-2904,-843,135,456,-380
3052,7996,-14500,219,-2578,-720,135,456,-380
2728,8228,-14416,53,-2220,-639,135,456,-380
2868,8432,-14284,-157,-2025,-636,135,456,-380
2660,8620,-14588,-250,-1735,-652,126,462,-377
2944,8584,-14376,-184,-1849,-703,126,462,-377
2860,8400,-14360,29,-1938,-772,126,462,-377
2844,8240,-14444,124,-2002,-825,126,462,-377
2756,7952,-14540,154,-1862,-798,126,462,-377
2860,7996,-14548,42,-1722,-700,126,462,-377
2680,8096,-14624,-6,-1560,-573,126,462,-377
2592,8308,-14764,-90,-1305,-461,126,462,-377
2712,8660,-14680,-76,-1040,-461,126,462,-377
2760,8616,-14988,-53,-886,-457,126,462,-377
3028,8440,-14872,-147,-842,-492,126,462,-377
3000,8380,-14900,-216,-770,-518,126,462,-377
2980,8344,-15236,-259,-886,-564,126,462,-377
2928,8156,-15088,-254,-999,-555,126,462,-377
2872,8084,-15076,-272,-929,-486,126,462,-377
2940,8192,-15000,-284,-917,-400,118,470,-387
2836,8152,-14792,-288,-799,-318,118,470,-387
2816,8256,-14764,-274,-580,-199,118,470,-387
2816,8340,-14556,-269,-334,-104,118,470,-387
2764,8264,-14596,-297,-91,-28,118,470,-387
2756,8352,-14488,-243,163,44,118,470,-387
2728,8344,-14652,-139,206,105,118,470,-387
2848,8292,-14472,-72,179,72,118,470,-387
2896,8184,-14792,20,86,47,118,470,-387
2908,7960,-14684,-1,67,72,118,470,-387
2848,8008,-14952,-23,132,127,118,470,-387
2760,8160,-14920,-63,272,174,118,470,-387
2844,8244,-14780,-60,331,203,118,470,-387
2840,8500,-15004,-61,258,143,118,470,-387
3024,8588,-15040,-65,97,37,118,470,-387
3048,8508,-15196,-9,-108,-80,118,470,-387
3048,8164,-15120,-23,-166,-74,117,454,-389
3020,8096,-15088,-178,-183,-34,117,454,-389
3128,7888,-15156,-344,-142,50,117,454,-389
2892,8040,-14904,-476,-85,121,117,454,-389
2916,8140,-15004,-487,1,158,117,454,-389
2808,8280,-14852,-461,120,202,117,454,-389
2824,8136,-14764,-485,227,280,117,454,-389
2876,8316,-14724,-609,296,277,117,454,-389
2864,8556,-14552,-692,246,180,117,454,-389
2888,8868,-14652,-403,-17,-9,117,454,-389
2840,8904,-14932,-129,-184,-124,117,454,-389
2948,8688,-14988,21,-140,-184,117,454,-389
2960,8472,-15152,14,-59,-208,117,454,-389
3076,8184,-15136,-91,-25,-169,117,454,-389
3020,8064,-15328,-159,18,-104,117,454,-389
3060,8068,-15056,-159,-13,4,117,454,-389
3060,8128,-15044,-197,-12,59,124,461,-380
3000,8112,-14960,-250,10,58,124,461,-380
2976,8328,-14652,-292,73,36,124,461,-380
2956,8268,-14784,-277,115,67,124,461,-380
2988,8480,-14840,-225,219,29,124,461,-380
2932,8500,-14752,-73,318,-43,124,461,-380
2876,8520,-14756,23,449,-102,124,461,-380
