,ax,ay,az,gx,gy,gz,cx,cy,cz
1,-1151,-1230,-3969,-51,-8,6,-375,-62,-684
1,-1148,-1181,-3957,-35,-13,-18,-375,-62,-684
1,-1121,-1202,-4053,-14,-10,-32,-375,-62,-684
1,-1136,-1209,-3974,-5,-5,-28,-375,-62,-684
1,-1176,-1214,-4024,1,-12,-22,-375,-62,-684
1,-1128,-1208,-3998,12,-4,7,-375,-62,-684
1,-1177,-1216,-4039,11,6,37,-375,-62,-684
1,-1172,-1206,-4062,11,21,66,-375,-62,-684
1,-1152,-1230,-4037,6,31,101,-375,-62,-684
1,-1167,-1233,-4041,1,47,121,-375,-62,-684
1,-1138,-1231,-4050,-4,50,134,-375,-62,-684
1,-1120,-1239,-4020,-11,48,142,-375,-62,-684
1,-1131,-1243,-4019,-9,55,132,-375,-62,-684
1,-1127,-1226,-4013,-20,50,119,-375,-62,-684
1,-1101,-1242,-4012,-20,42,102,-381,-58,-692
1,-1118,-1264,-4047,-26,36,74,-381,-58,-692
1,-1105,-1269,-4047,-27,31,39,-381,-58,-692
1,-1121,-1255,-4043,-30,16,23,-381,-58,-692
1,-1120,-1217,-4011,-34,9,1,-381,-58,-692
1,-1113,-1284,-3995,-50,-1,-15,-381,-58,-692
1,-1099,-1254,-4022,-56,0,-30,-381,-58,-692
1,-1172,-1282,-4031,-69,-4,-39,-381,-58,-692
1,-1134,-1256,-4010,-80,-3,-49,-381,-58,-692
1,-1147,-1260,-4084,-93,2,-50,-381,-58,-692
1,-1133,-1243,-4049,-109,6,-57,-381,-58,-692
1,-1150,-1246,-4053,-125,3,-56,-381,-58,-692
1,-1114,-1251,-4039,-130,4,-64,-381,-58,-692
1,-1111,-1231,-4007,-137,3,-65,-381,-58,-692
1,-1146,-1220,-4012,-143,-7,-72,-381,-58,-692
1,-1133,-1235,-4028,-137,-16,-78,-381,-58,-692
1,-1125,-1216,-3980,-135,-14,-88,-374,-65,-689
1,-1123,-1214,-3991,-129,-22,-91,-374,-65,-689
1,-1130,-1212,-4029,-123,-26,-103,-374,-65,-689
1,-1138,-1225,-4023,-113,-29,-105,-374,-65,-689
1,-1155,-1213,-4030,-109,-22,-113,-374,-65,-689
