,ax,ay,az,gx,gy,gz,cx,cy,cz
1,1852,1028,-3555,-94,101,132,34,242,-653
2,1844,1031,-3531,-60,92,131,34,242,-653
3,1824,1000,-3570,-25,69,126,34,242,-653
4,1831,995,-3536,33,64,126,34,242,-653
5,1834,993,-3550,64,47,141,34,242,-653
6,1867,970,-3550,83,41,142,34,242,-653
7,1885,996,-3562,97,18,143,34,242,-653
8,1905,1034,-3595,111,-2,138,34,242,-653
9,1911,1036,-3576,133,-31,141,34,242,-653
10,1905,1020,-3589,137,-51,137,34,242,-653
11,1935,1019,-3569,156,-65,147,34,242,-653
12,1964,1032,-3531,209,-62,154,34,242,-653
13,1945,990,-3554,227,-56,157,34,242,-653
14,1961,996,-3571,229,-69,167,34,242,-653
15,1996,934,-3617,252,-88,187,34,242,-653
16,2031,946,-3657,259,-95,206,34,242,-653
17,2046,929,-3676,281,-100,220,28,250,-659
18,2077,883,-3718,299,-103,228,28,250,-659
19,2063,894,-3726,315,-104,229,28,250,-659
20,2094,858,-3756,341,-89,239,28,250,-659
21,2111,855,-3747,350,-84,259,28,250,-659
22,2111,807,-3773,344,-83,269,28,250,-659
23,2122,762,-3832,331,-87,289,28,250,-659
24,2107,761,-3843,310,-98,306,28,250,-659
25,2116,766,-3845,283,-89,317,28,250,-659
26,2126,765,-3889,268,-84,329,28,250,-659
27,2156,754,-3847,245,-70,340,28,250,-659
28,2131,776,-3877,240,-56,337,28,250,-659
29,2164,746,-3853,224,-49,342,28,250,-659
30,2175,742,-3884,202,-36,334,28,250,-659
31,2148,767,-3868,180,-17,339,28,250,-659
32,2177,819,-3902,169,10,321,28,250,-659
33,2190,826,-3917,154,25,290,28,250,-659
34,2183,861,-3922,165,38,268,36,235,-663
35,2181,857,-3911,164,49,232,36,235,-663
36,2176,831,-3975,166,43,207,36,235,-663
37,2177,826,-3941,155,41,183,36,235,-663
38,2177,819,-3942,164,37,162,36,235,-663
39,2191,776,-3941,156,24,141,36,235,-663
40,2162,734,-3927,139,13,130,36,235,-663
41,2102,716,-3922,116,11,122,36,235,-663
42,2100,672,-3901,85,16,107,36,235,-663
43,2080,654,-3848,52,16,98,36,235,-663
44,2090,617,-3807,25,19,108,36,235,-663
45,2030,642,-3849,-1,24,117,36,235,-663
46,2038,639,-3786,-25,35,117,36,235,-663
47,2036,625,-3794,-47,49,132,36,235,-663
48,2020,654,-3780,-45,44,137,36,235,-663
49,2046,577,-3788,-45,46,151,36,235,-663
50,2032,579,-3794,-63,33,172,37,232,-656
51,2041,560,-3754,-84,30,196,37,232,-656
52,2049,608,-3757,-106,21,217,37,232,-656
53,2086,608,-3783,-129,30,224,37,232,-656
54,2117,689,-3740,-143,46,219,37,232,-656
55,2112,679,-3727,-143,60,202,37,232,-656
56,2143,712,-3740,-167,89,186,37,232,-656
57,2177,765,-3745,-192,108,171,37,232,-656
58,2189,759,-3742,-229,128,149,37,232,-656
59,2223,826,-3810,-242,141,101,37,232,-656
60,2234,822,-3824,-228,149,62,37,232,-656
61,2229,789,-3817,-207,155,11,37,232,-656
62,2269,783,-3760,-197,153,-26,37,232,-656
63,2227,719,-3792,-209,149,-79,37,232,-656
64,2206,685,-3815,-242,153,-121,37,232,-656
65,2205,634,-3810,-274,162,-173,37,232,-656
66,2191,614,-3799,-300,166,-211,34,241,-658
67,2177,593,-3772,-330,181,-250,34,241,-658
68,2155,550,-3718,-354,175,-286,34,241,-658
69,2134,523,-3721,-390,176,-307,34,241,-658
70,2099,509,-3728,-410,173,-316,34,241,-658
71,2093,463,-3724,-403,176,-320,34,241,-658
72,2095,441,-3727,-388,174,-304,34,241,-658
73,2097,345,-3716,-376,177,-285,34,241,-658
74,2096,365,-3708,-382,179,-248,34,241,-658
75,2116,354,-3699,-378,171,-216,34,241,-658
76,2144,339,-3696,-380,168,-189,34,241,-658
77,2142,344,-3714,-360,159,-149,34,241,-658
78,2159,340,-3690,-352,170,-111,34,241,-658
79,2157,329,-3667,-380,172,-70,34,241,-658
80,2153,323,-3662,-424,167,-40,34,241,-658
81,2122,406,-3729,-467,168,-6,34,241,-658
82,2110,453,-3684,-497,161,11,40,243,-658
83,2036,464,-3701,-535,144,28,40,243,-658
84,1994,497,-3656,-608,151,37,40,243,-658
85,1902,600,-3632,-673,155,41,40,243,-658
86,1827,687,-3608,-718,161,39,40,243,-658
87,1792,720,-3582,-728,135,32,40,243,-658
88,1766,805,-3544,-708,89,23,40,243,-658
89,1688,807,-3529,-696,33,22,40,243,-658
90,1666,849,-3528,-680,-22,16,40,243,-658
91,1662,899,-3480,-658,-70,-4,40,243,-658
92,1688,917,-3387,-654,-117,-29,40,243,-658
93,1734,964,-3371,-664,-141,-60,40,243,-658
94,1790,1034,-3378,-641,-150,-110,40,243,-658
95,1825,1012,-3358,-567,-136,-164,40,243,-658
96,1889,945,-3358,-497,-131,-205,40,243,-658
97,1940,889,-3388,-471,-166,-236,40,243,-658
98,2006,819,-3521,-458,-189,-272,40,243,-658
99,2028,786,-3629,-395,-155,-293,40,243,-658
100,2091,784,-3703,-331,-126,-319,40,243,-658
101,2126,710,-3757,-315,-134,-326,40,243,-658
102,2156,637,-3789,-316,-168,-327,40,243,-658
103,2090,583,-3790,-317,-196,-315,40,243,-658
104,2089,578,-3856,-320,-205,-307,40,243,-658
105,2087,522,-3904,-331,-154,-320,40,243,-658
106,2084,541,-3921,-374,-87,-351,40,243,-658
107,2129,465,-3987,-437,-20,-384,40,243,-658
108,2130,477,-4123,-545,27,-404,40,243,-658
109,2118,471,-4125,-660,44,-421,40,243,-658
110,2109,529,-4156,-742,58,-426,40,243,-658
111,2126,580,-4224,-798,43,-442,40,243,-658
112,2132,622,-4175,-882,-5,-453,40,243,-658
113,2097,604,-4139,-984,-59,-485,40,243,-658
114,2102,654,-4050,-1118,-96,-491,40,243,-658
115,2051,754,-4013,-1226,-105,-503,31,270,-646
116,2047,773,-3942,-1289,-99,-525,31,270,-646
117,2057,851,-3884,-1309,-69,-529,31,270,-646
118,2028,923,-3840,-1329,-69,-540,31,270,-646
119,2039,940,-3864,-1323,-94,-533,31,270,-646
120,2043,1004,-3807,-1307,-112,-522,31,270,-646
121,2027,1039,-3755,-1283,-142,-515,31,270,-646
122,2084,1054,-3781,-1253,-177,-497,31,270,-646
123,2059,1100,-3794,-1208,-183,-466,31,270,-646
124,2073,1114,-3758,-1171,-195,-436,31,270,-646
125,2125,1196,-3780,-1113,-186,-414,31,270,-646
126,2142,1228,-3765,-1045,-175,-387,31,270,-646
127,2158,1226,-3808,-984,-176,-375,31,270,-646
128,2157,1176,-3753,-957,-180,-352,31,270,-646
129,2146,1215,-3843,-950,-191,-330,31,270,-646
130,2140,1226,-3880,-930,-163,-328,31,294,-638
131,2147,1242,-3850,-892,-155,-312,28,294,-638
132,2170,1239,-3895,-859,-135,-316,28,294,-638
133,2151,1191,-3909,-825,-99,-314,28,294,-638
134,2149,1206,-3926,-791,-61,-307,28,294,-638
135,2139,1161,-3915,-797,-56,-304,28,294,-638
136,2097,1214,-3959,-795,-46,-302,28,294,-638
