42,-66,50,393,146,-491
4322,222,-7480,39,5,85,393,146,-491
4366,252,-7510,-79,60,58,393,146,-491
4350,256,-7556,-184,33,70,393,146,-491
4326,308,-7502,-199,25,60,393,146,-491
4280,278,-7578,-136,75,60,393,146,-491
4224,254,-7546,-128,149,74,393,146,-491
4244,270,-7484,-135,173,61,393,146,-491
4236,286,-7610,-174,121,63,393,146,-491
4382,258,-7496,-197,30,13,393,146,-491
4294,270,-7478,-239,11,45,393,146,-491
4338,274,-7540,-258,132,10,393,146,-491
4340,278,-7674,-257,112,-17,393,146,-491
4390,268,-7580,-273,117,-35,393,146,-491
4370,250,-7590,-242,47,-53,393,146,-491
4290,224,-7512,-246,68,-51,402,153,-494
4200,362,-7494,-250,126,-20,402,153,-494
4220,324,-7498,-247,126,-15,402,153,-494
4310,304,-7588,-222,73,-57,402,153,-494
4294,336,-7514,-190,75,-37,402,153,-494
4268,262,-7474,-185,95,-43,402,153,-494
4292,332,-7534,-207,119,-54,402,153,-494
4264,350,-7548,-226,94,-48,402,153,-494
4338,328,-7528,-181,91,-78,402,153,-494
4254,324,-7468,-197,50,-111,402,153,-494
4274,292,-7604,-214,63,-101,402,153,-494
4346,282,-7524,-224,47,-154,402,153,-494
4336,252,-7564,-252,57,-170,402,153,-494
4328,258,-7508,-299,-3,-217,402,153,-494
4294,324,-7558,-309,24,-222,402,153,-494
4308,300,-7494,-328,16,-276,402,153,-494
4330,304,-7546,-338,22,-263,393,140,-497
4332,296,-7540,-294,12,-284,393,140,-497
4284,358,-7530,-302,40,-256,393,140,-497
4294,378,-7478,-279,31,-255,393,140,-497
4334,454,-7514,-258,49,-253,393,140,-497
4326,426,-7520,-209,26,-247,393,140,-497
4318,390,-7544,-191,36,-236,393,140,-497
4256,370,-7558,-166,63,-213,393,140,-497
4318,402,-7518,-167,64,-202,393,140,-497
4310,416,-7512,-144,52,-195,393,140,-497
4374,366,-7570,-154,86,-171,393,140,-497
4358,374,-7534,-128,86,-187,393,140,-497
4360,388,-7500,-150,110,-191,393,140,-497
4322,390,-7518,-164,94,-183,393,140,-497
4386,356,-7488,-132,104,-179,393,140,-497
4374,406,-7476,-123,88,-183,393,140,-497
4368,388,-7540,-104,126,-174,394,147,-491
4392,402,-7500,-139,119,-184,394,147,-491
4406,356,-7480,-136,128,-182,394,147,-491
4370,354,-7426,-158,109,-166,394,147,-491
4400,340,-7396,-185,139,-166,394,147,-491
4418,384,-7396,-203,142,-161,394,147,-491
4360,384,-7438,-206,98,-137,394,147,-491
4376,356,-7538,-199,90,-152,394,147,-491
4374,370,-7482,-212,105,-139,394,147,-491
4440,338,-7488,-216,85,-156,394,147,-491
4436,318,-7434,-226,77,-154,394,147,-491
4450,326,-7448,-224,35,-154,394,147,-491
4374,288,-7468,-269,52,-156,394,147,-491
4480,326,-7458,-296,21,-143,394,147,-491
4458,328,-7482,-301,38,-174,394,147,-491
4376,358,-7414,-315,44,-166,394,147,-491
4390,364,-7410,-295,30,-154,402,152,-494
4422,356,-7474,-282,48,-165,402,152,-494
4344,364,-7444,-281,31,-139,402,152,-494
4328,424,-7506,-296,40,-142,402,152,-494
4332,370,-7490,-264,41,-133,402,152,-494
4348,326,-7502,-243,-1,-131,402,152,-494
4340,330,-7528,-253,43,-122,402,152,-494
4294,294,-7466,-216,26,-121,402,152,-494
4346,282,-7434,-239,36,-128,402,152,-494
4316,322,-7474,-242,23,-152,402,152,-494
4378,276,-7474,-235,36,-160,402,152,-494
4392,226,-7482,-268,31,-172,402,152,-494
