,ax,ay,az,gx,gy,gz,cx,cy,cz
1,822,814,-4217,-56,8,7,-110,290,-615
2,830,802,-4252,-42,5,-1,-110,290,-615
3,837,765,-4230,-44,-4,-9,-110,290,-615
4,809,804,-4293,-43,8,-11,-110,290,-615
5,806,775,-4228,-60,-2,-8,-110,290,-615
6,813,798,-4237,-38,1,-5,-110,290,-615
7,815,778,-4191,-16,29,-1,-110,290,-615
8,798,798,-4194,9,33,1,-110,290,-615
9,826,808,-4224,23,45,-3,-110,290,-615
10,843,813,-4237,33,25,-8,-110,290,-615
11,803,761,-4282,22,30,-13,-110,290,-615
12,810,783,-4274,-6,11,-22,-110,290,-615
13,811,784,-4256,-30,0,-18,-115,292,-623
14,851,767,-4306,-37,-27,-20,-115,292,-623
15,812,760,-4269,-50,-39,-22,-115,292,-623
16,806,792,-4223,-53,-55,-21,-115,292,-623
17,800,805,-4232,-70,-53,-24,-115,292,-623
18,777,779,-4185,-63,-51,-16,-115,292,-623
19,805,809,-4178,-53,-43,-17,-115,292,-623
20,794,789,-4167,-54,-45,-18,-115,292,-623
21,789,756,-4169,-41,-29,-9,-115,292,-623
22,768,767,-4168,-28,-10,-5,-115,292,-623
23,805,709,-4175,-19,-18,9,-115,292,-623
24,767,703,-4230,-28,-10,28,-115,292,-623
25,760,730,-4271,-32,-23,34,-115,292,-623
26,775,713,-4264,-49,-23,39,-115,292,-623
27,785,783,-4242,-53,-41,40,-115,292,-623
28,766,782,-4252,-40,-51,44,-115,292,-623
29,794,769,-4254,-34,-67,45,-115,292,-623
30,779,785,-4285,-28,-75,48,-114,286,-617
31,773,763,-4233,-26,-80,56,-114,286,-617
32,776,754,-4214,-42,-72,66,-114,286,-617
33,781,736,-4241,-37,-69,73,-114,286,-617
34,762,773,-4220,-34,-67,73,-114,286,-617
35,810,733,-4183,-38,-69,83,-114,286,-617
36,823,752,-4215,-48,-75,86,-114,286,-617
37,779,731,-4213,-56,-77,89,-114,286,-617
38,798,770,-4147,-93,-70,98,-114,286,-617
39,812,760,-4185,-106,-73,97,-114,286,-617
40,800,794,-4168,-112,-69,89,-114,286,-617
41,825,814,-4109,-101,-66,92,-114,286,-617
42,799,820,-4096,-91,-58,85,-114,286,-617
43,798,852,-4137,-106,-33,71,-114,286,-617
44,773,883,-4177,-104,-13,65,-114,286,-617
45,800,885,-4181,-77,3,55,-114,286,-617
46,767,841,-4155,-66,5,50,-122,296,-619
47,785,854,-4185,-52,11,46,-122,296,-619
48,800,846,-4202,-43,3,48,-122,296,-619
49,803,846,-4239,-47,5,42,-122,296,-619
50,795,837,-4223,-41,2,37,-122,296,-619
51,801,845,-4267,-36,5,36,-122,296,-619
52,786,844,-4176,-31,3,31,-122,296,-619
53,795,857,-4241,-26,-1,18,-122,296,-619
54,812,822,-4246,-34,-18,14,-122,296,-619
55,791,795,-4237,-50,-19,7,-122,296,-619
56,782,787,-4271,-54,-23,9,-122,296,-619
57,798,777,-4237,-57,-35,13,-122,296,-619
58,798,763,-4226,-52,-46,22,-122,296,-619
59,804,779,-4231,-67,-44,22,-122,296,-619
60,788,804,-4223,-71,-43,25,-122,296,-619
61,790,790,-4162,-64,-43,33,-122,296,-619
62,807,799,-4174,-67,-43,32,-122,296,-619
63,797,790,-4179,-76,-37,28,-122,296,-619
64,809,805,-4161,-81,-30,29,-122,296,-619
65,791,825,-4190,-84,-15,17,-122,296,-619
66,818,796,-4152,-74,-6,17,-122,296,-619
67,795,825,-4186,-57,2,9,-122,296,-619
68,786,808,-4178,-54,-5,6,-122,296,-619
69,787,814,-4183,-47,-13,-8,-122,296,-619
70,814,826,-4245,-47,-23,-14,-122,296,-619
71,800,816,-4239,-46,-27,-22,-122,296,-619
72,806,795,-4254,-57,-20,-24,-122,296,-619
73,805,786,-4260,-67,-32,-33,-122,296,-619
74,771,788,-4240,-60,-33,-31,-122,296,-619
75,769,755,-4190,-56,-28,-32,-122,296,-619
76,750,754,-4259,-45,-30,-23,-122,296,-619
77,749,730,-4220,-58,-21,-23,-122,296,-619
78,750,752,-4165,-50,-13,-18,-122,296,-619
79,783,765,-4148,-42,-6,-13,-114,287,-615
80,769,763,-4162,-44,3,-13,-114,287,-615
81,801,782,-4224,-44,-5,-18,-114,287,-615
82,817,773,-4193,-35,-11,-25,-114,287,-615
83,778,728,-4213,-58,-26,-25,-114,287,-615
84,789,723,-4244,-82,-49,-23,-114,287,-615
85,778,677,-4216,-84,-58,-6,-114,287,-615
86,776,674,-4210,-79,-59,2,-114,287,-615
87,737,670,-4205,-87,-63,22,-114,287,-615
88,752,726,-4187,-86,-47,31,-114,287,-615
89,771,733,-4198,-74,-27,54,-114,287,-615
90,772,758,-4169,-59,-14,59,-114,287,-615
91,805,739,-4185,-33,-11,61,-114,287,-615
92,782,778,-4234,-17,-10,70,-114,287,-615
93,795,762,-4249,-15,-13,63,-114,287,-615
94,788,766,-4227,-16,-22,69,-114,287,-615
95,795,747,-4203,-26,-39,78,-114,287,-615
96,780,761,-4257,-29,-31,75,-114,287,-615
97,786,778,-4212,-39,-18,70,-114,287,-615
98,773,781,-4238,-43,-10,70,-114,287,-615
99,811,818,-4261,-44,-2,67,-114,287,-615
100,816,832,-4227,-33,-18,56,-114,287,-615
101,802,864,-4330,-34,-7,43,-114,287,-615
102,825,860,-4251,-31,-18,21,-114,287,-615
103,817,822,-4282,-45,-19,2,-114,287,-615
104,840,803,-4288,-52,-22,7,-114,287,-615
105,781,808,-4279,-55,-21,-3,-114,287,-615
106,761,774,-4255,-50,-15,-4,-114,287,-615
107,801,777,-4236,-51,-14,-3,-114,287,-615
108,799,770,-4254,-59,-9,-6,-114,287,-615
109,798,760,-4279,-77,-9,-3,-114,287,-615
110,772,761,-4236,-84,-2,-12,-114,287,-615
111,787,747,-4236,-89,-11,-8,-114,287,-615
112,772,699,-4191,-89,-23,-7,-119,292,-622
113,757,715,-4212,-85,-36,-6,-119,292,-622
114,769,672,-4175,-69,-47,15,-119,292,-622
115,735,733,-4161,-51,-48,24,-119,292,-622
116,774,752,-4108,-24,-33,24,-119,292,-622
117,807,855,-4027,16,-46,12,-119,292,-622
118,794,930,-4021,72,-70,-1,-119,292,-622
119,776,884,-3998,135,-73,-15,-119,292,-622
120,759,859,-4028,188,-34,-30,-119,292,-622
121,732,772,-4150,196,11,-23,-119,292,-622
122,739,716,-4235,158,47,-12,-119,292,-622
123,752,606,-4369,102,68,12,-119,292,-622
124,722,590,-4438,37,43,23,-119,292,-622
125,732,582,-4499,16,-9,68,-119,292,-622
126,728,593,-4523,-7,-61,77,-119,292,-622
127,752,681,-4498,-36,-122,83,-119,292,-622
128,737,687,-4431,-64,-165,97,-119,292,-622
129,763,717,-4370,-74,-182,102,-119,292,-622
130,755,749,-4327,-68,-159,120,-119,292,-622
131,748,709,-4232,-59,-132,127,-119,292,-622
132,790,720,-4181,-69,-124,128,-119,292,-622
133,767,754,-4165,-54,-106,140,-119,292,-622
134,758,738,-4113,-19,-84,146,-119,292,-622
135,753,723,-4164,12,-55,161,-119,292,-622
136,787,779,-4142,20,-46,166,-119,292,-622
137,761,721,-4180,9,-58,155,-119,292,-622
138,771,720,-4158,-6,-56,160,-119,292,-622
139,798,692,-4235,-23,-67,157,-119,292,-622
140,770,747,-4208,-40,-65,155,-119,292,-622
141,764,747,-4213,-60,-57,159,-119,292,-622
142,757,748,-4209,-86,-32,159,-119,292,-622
143,780,767,-4216,-97,-29,155,-119,292,-622
144,792,787,-4178,-97,-28,152,-119,292,-622
145,815,825,-4195,-75,-43,141,-121,294,-614
146,802,875,-4145,-52,-48,124,-121,294,-614
147,806,875,-4188,-23,-57,109,-121,294,-614
148,813,845,-4135,-4,-71,83,-121,294,-614
149,772,824,-4170,-2,-41,78,-121,294,-614
150,779,801,-4209,-9,-20,70,-121,294,-614
151,787,814,-4173,-22,-12,60,-121,294,-614
152,789,835,-4238,-9,5,53,-121,294,-614
153,763,814,-4251,-3,-6,43,-121,294,-614
154,768,749,-4314,1,-28,41,-121,294,-614
155,773,730,-4365,-12,-57,46,-121,294,-614
156,750,698,-4393,-26,-71,56,-121,294,-614
157,711,672,-4340,-42,-104,67,-121,294,-614
158,718,664,-4356,-33,-109,90,-121,294,-614
159,711,682,-4312,-9,-116,111,-121,294,-614
160,714,649,-4278,5,-119,137,-121,294,-614
161,738,674,-4300,-21,-101,149,-118,287,-625
162,735,697,-4248,-29,-80,164,-118,287,-625
163,732,742,-4231,-54,-69,167,-118,287,-625
164,732,726,-4148,-40,-37,173,-118,287,-625
165,735,662,-4163,-29,-22,181,-118,287,-625
166,728,685,-4180,-19,8,210,-118,287,-625
167,745,690,-4185,-23,31,211,-118,287,-625
