,ax,ay,az,gx,gy,gz,cx,cy,cz
1,1324,1239,-3931,-134,-20,-1,-31,352,-581
2,1321,1225,-3920,-109,-10,-7,-31,352,-581
3,1318,1222,-3904,-108,-8,-3,-31,352,-581
4,1332,1227,-3938,-100,-1,-2,-31,352,-581
5,1334,1207,-3912,-86,7,2,-31,352,-581
6,1294,1216,-3931,-92,21,7,-31,352,-581
7,1316,1235,-3972,-65,15,12,-31,352,-581
8,1342,1223,-3938,-47,7,12,-31,352,-581
9,1314,1225,-3940,-50,6,6,-31,352,-581
10,1357,1235,-3931,-61,8,14,-31,352,-581
11,1352,1233,-3993,-63,10,10,-31,352,-581
12,1350,1246,-3919,-78,7,4,-24,342,-580
13,1359,1199,-3928,-92,-1,5,-24,342,-580
14,1347,1232,-3887,-95,-20,-3,-24,342,-580
15,1348,1231,-3864,-84,-4,-4,-24,342,-580
16,1368,1225,-3860,-91,0,-2,-24,342,-580
17,1347,1249,-3883,-81,11,3,-24,342,-580
18,1364,1247,-3918,-84,5,2,-24,342,-580
19,1343,1248,-3932,-84,7,-12,-24,342,-580
20,1337,1265,-3948,-86,18,-15,-24,342,-580
21,1341,1263,-3919,-94,30,-13,-24,342,-580
22,1338,1277,-3915,-82,35,-13,-24,342,-580
23,1320,1248,-3906,-49,37,-9,-24,342,-580
24,1296,1246,-3930,-30,41,-12,-24,342,-580
25,1315,1222,-3939,-16,45,-3,-24,342,-580
26,1341,1210,-3955,-6,53,2,-24,342,-580
27,1357,1199,-3991,-20,39,-2,-24,342,-580
28,1360,1176,-4027,-50,22,-11,-24,342,-580
29,1382,1201,-4029,-94,-4,-15,-22,340,-576
30,1380,1227,-4029,-123,8,-20,-22,340,-576
31,1383,1225,-4036,-137,2,-20,-22,340,-576
32,1361,1229,-3993,-131,-15,-26,-22,340,-576
33,1379,1224,-3979,-117,-9,-24,-22,340,-576
34,1351,1195,-3939,-110,6,-19,-22,340,-576
35,1344,1239,-3958,-112,19,-18,-22,340,-576
36,1341,1246,-3940,-115,28,-15,-22,340,-576
37,1346,1244,-3924,-101,38,-20,-22,340,-576
38,1328,1234,-3957,-82,44,-27,-22,340,-576
39,1330,1244,-3960,-77,46,-35,-22,340,-576
40,1325,1226,-3977,-89,47,-30,-22,340,-576
41,1311,1199,-3957,-100,47,-41,-22,340,-576
42,1314,1186,-3931,-114,27,-36,-22,340,-576
43,1350,1167,-3979,-123,19,-30,-22,340,-576
44,1346,1220,-3938,-121,14,-18,-22,340,-576
45,1323,1211,-3975,-114,3,-12,-27,353,-581
46,1337,1202,-3916,-100,-6,-5,-27,353,-581
47,1287,1207,-3930,-100,-14,1,-27,353,-581
48,1299,1249,-3904,-102,-4,7,-27,353,-581
49,1332,1241,-3926,-96,7,-1,-27,353,-581
50,1333,1269,-3892,-84,20,-1,-27,353,-581
51,1306,1266,-3930,-53,22,-18,-27,353,-581
52,1331,1235,-3949,-40,40,-11,-27,353,-581
53,1322,1223,-3974,-46,40,-15,-27,353,-581
54,1311,1193,-3925,-45,51,-6,-27,353,-581
55,1295,1179,-3914,-42,45,1,-27,353,-581
56,1313,1178,-3983,-34,46,12,-27,353,-581
57,1326,1164,-3991,-32,28,11,-27,353,-581
58,1369,1152,-3979,-68,14,17,-27,353,-581
59,1363,1182,-3985,-100,9,14,-27,353,-581
60,1383,1205,-3981,-122,7,10,-27,353,-581
61,1376,1217,-3967,-123,1,16,-27,353,-581
62,1362,1250,-3878,-112,4,5,-27,353,-581
63,1339,1245,-3953,-96,-5,12,-27,353,-581
64,1315,1232,-3934,-79,16,9,-27,353,-581
65,1320,1188,-3897,-79,19,10,-27,353,-581
66,1351,1222,-3916,-91,23,3,-27,353,-581
67,1346,1248,-3894,-91,32,-2,-27,353,-581
68,1355,1275,-3927,-88,49,-3,-27,353,-581
69,1347,1286,-3902,-83,50,-14,-27,353,-581
70,1353,1255,-3918,-70,37,-21,-27,353,-581
71,1350,1236,-3982,-65,31,-16,-27,353,-581
72,1323,1216,-3946,-65,42,-13,-27,353,-581
73,1318,1242,-3942,-61,50,-5,-27,353,-581
74,1320,1205,-3955,-40,57,0,-27,353,-581
75,1335,1220,-3968,-23,57,12,-27,353,-581
76,1311,1205,-3985,13,66,11,-27,353,-581
77,1328,1206,-4032,21,97,18,-27,353,-581
78,1366,1204,-4003,-12,82,16,-22,341,-577
79,1374,1229,-3978,-40,43,9,-22,341,-577
80,1330,1238,-3975,-73,34,11,-22,341,-577
81,1339,1217,-3927,-61,30,8,-22,341,-577
82,1355,1230,-3939,-55,37,7,-22,341,-577
83,1345,1192,-3970,-52,46,15,-22,341,-577
84,1350,1192,-4015,-60,34,28,-22,341,-577
85,1357,1200,-3998,-66,21,27,-22,341,-577
86,1348,1222,-3982,-68,15,28,-22,341,-577
87,1369,1206,-3967,-58,7,25,-22,341,-577
88,1373,1212,-3980,-63,13,23,-22,341,-577
89,1382,1225,-3976,-71,29,21,-22,341,-577
90,1357,1255,-3936,-88,32,21,-22,341,-577
91,1400,1209,-3962,-76,36,13,-22,341,-577
92,1362,1191,-3955,-57,25,4,-22,341,-577
93,1322,1175,-3949,-58,37,20,-22,341,-577
94,1362,1204,-3960,-74,65,23,-30,351,-583
95,1326,1218,-3925,-100,88,19,-30,351,-583
96,1327,1238,-3911,-65,181,37,-30,351,-583
97,1369,1212,-3923,3,148,14,-30,351,-583
98,1325,1181,-3999,-42,108,27,-30,351,-583
99,1351,1217,-3953,-122,86,12,-30,351,-583
100,1343,1227,-3937,-128,100,10,-30,351,-583
101,1347,1243,-3918,-106,120,18,-30,351,-583
102,1366,1269,-3904,-65,126,15,-30,351,-583
103,1362,1225,-3890,-40,137,19,-30,351,-583
104,1343,1265,-3912,-24,159,24,-30,351,-583
105,1360,1207,-3901,-20,174,16,-30,351,-583
106,1343,1199,-3923,-35,193,4,-30,351,-583
107,1389,1249,-3949,5,219,7,-30,351,-583
108,1378,1265,-4066,87,190,11,-30,351,-583
109,1431,1198,-4044,66,162,-4,-30,351,-583
110,1431,1199,-3977,22,151,-13,-30,351,-583
111,1410,1180,-4024,-17,182,-23,-17,343,-582
112,1403,1214,-3996,-38,216,-24,-17,343,-582
113,1394,1238,-3990,-25,230,-25,-17,343,-582
114,1412,1231,-3938,-21,220,-17,-17,343,-582
115,1408,1271,-3934,-34,223,-24,-17,343,-582
116,1420,1267,-3989,-32,246,-20,-17,343,-582
117,1456,1273,-3973,-13,273,-22,-17,343,-582
118,1491,1306,-3978,-6,291,-25,-17,343,-582
119,1504,1324,-3955,14,308,-61,-17,343,-582
120,1478,1329,-3956,31,344,-92,-17,343,-582
121,1504,1242,-3960,28,338,-117,-17,343,-582
122,1425,1237,-3991,4,326,-123,-17,343,-582
123,1405,1243,-3976,-19,342,-123,-17,343,-582
124,1396,1229,-3937,-25,360,-119,-17,343,-582
125,1408,1260,-3903,8,365,-111,-17,343,-582
126,1383,1235,-3872,32,356,-106,-17,343,-582
127,1351,1194,-3876,56,367,-95,-14,337,-572
128,1336,1151,-3899,46,396,-88,-14,337,-572
129,1314,1136,-3883,38,435,-68,-14,337,-572
130,1323,1107,-3907,53,453,-41,-14,337,-572
131,1353,1142,-3919,53,439,-21,-14,337,-572
132,1375,1148,-3931,40,423,-17,-14,337,-572
133,1399,1167,-3929,37,429,-8,-14,337,-572
134,1367,1168,-3892,22,436,-5,-14,337,-572
135,1373,1127,-3852,1,451,-7,-14,337,-572
136,1410,1108,-3915,-29,431,-23,-14,337,-572
137,1480,1149,-3871,-122,391,-26,-14,337,-572
138,1495,1235,-3874,-217,330,-42,-14,337,-572
139,1491,1298,-3894,-258,298,-71,-14,337,-572
140,1453,1297,-3882,-226,316,-76,-14,337,-572
141,1460,1255,-3863,-168,311,-69,-14,337,-572
142,1422,1250,-3829,-91,291,-58,-14,337,-572
143,1462,1200,-3883,-50,249,-47,-15,350,-581
144,1505,1213,-3940,-37,195,-25,-15,350,-581
145,1470,1194,-3954,-23,154,-19,-15,350,-581
146,1471,1192,-3945,-10,150,-14,-15,350,-581
147,1490,1222,-3958,-9,143,-16,-15,350,-581
148,1482,1180,-3968,-9,128,-14,-15,350,-581
149,1483,1179,-3973,-38,124,-9,-15,350,-581
150,1430,1191,-3933,-70,123,-15,-15,350,-581
151,1445,1203,-3878,-98,154,-5,-15,350,-581
152,1436,1228,-3894,-71,195,3,-15,350,-581
153,1433,1230,-3868,-16,244,10,-15,350,-581
154,1449,1259,-3905,27,267,9,-15,350,-581
155,1467,1194,-3951,69,285,16,-15,350,-581
156,1413,1178,-3945,74,351,17,-15,350,-581
157,1432,1215,-3957,58,419,1,-15,350,-581
158,1463,1204,-3971,55,435,-9,-15,350,-581
159,1480,1235,-3918,78,431,-14,-4,343,-586
160,1482,1183,-3881,78,404,-24,-4,343,-586
161,1460,1170,-3880,77,383,-29,-4,343,-586
162,1451,1171,-3857,55,364,-33,-4,343,-586
163,1451,1166,-3884,14,346,-23,-4,343,-586
164,1473,1170,-3885,18,325,-16,-4,343,-586
165,1448,1168,-3877,23,323,-8,-4,343,-586
166,1430,1146,-3819,49,318,6,-4,343,-586
167,1466,1139,-3853,44,334,15,-4,343,-586
168,1481,1115,-3825,10,289,3,-4,343,-586
169,1532,1147,-3868,-53,206,-1,-4,343,-586
170,1545,1175,-3862,-102,119,1,-4,343,-586
171,1488,1203,-3891,-109,83,-3,-4,343,-586
172,1513,1216,-3899,-82,66,4,-4,343,-586
173,1518,1200,-3909,-62,47,8,-4,343,-586
174,1507,1159,-3902,-62,24,9,-4,343,-586
175,1498,1118,-3930,-75,-2,10,-4,343,-586
176,1529,1130,-3947,-86,-19,16,2,334,-579
177,1519,1183,-3963,-85,-35,28,2,334,-579
178,1509,1167,-3908,-82,-56,21,2,334,-579
179,1520,1189,-3882,-94,-59,25,2,334,-579
180,1508,1195,-3834,-119,-64,13,2,334,-579
181,1493,1197,-3822,-130,-48,5,2,334,-579
182,1505,1216,-3815,-141,-35,3,2,334,-579
183,1484,1206,-3844,-128,-16,3,2,334,-579
184,1475,1241,-3864,-106,-12,6,2,334,-579
185,1492,1216,-3823,-78,-17,6,2,334,-579
186,1495,1191,-3844,-78,-24,11,2,334,-579
187,1484,1175,-3869,-70,-29,26,2,334,-579
188,1484,1183,-3843,-61,-24,37,2,334,-579
189,1500,1189,-3874,-42,-22,54,2,334,-579
190,1477,1139,-3871,-31,-26,63,2,334,-579
191,1461,1170,-3875,-37,-43,74,2,334,-579
192,1502,1167,-3898,-46,-53,76,-3,343,-585
193,1526,1113,-3930,-66,-74,83,-3,343,-585
194,1508,1129,-3994,-110,-85,104,-3,343,-585
195,1486,1158,-3957,-155,-116,95,-3,343,-585
196,1463,1185,-3932,-125,-93,103,-3,343,-585
197,1495,1183,-3964,-115,-107,108,-3,343,-585
198,1490,1171,-3916,-92,-106,109,-3,343,-585
199,1517,1146,-3887,-125,-150,111,-3,343,-585
200,1522,1136,-3886,-154,-165,116,-3,343,-585
201,1480,1208,-3873,-141,-131,115,-3,343,-585
202,1471,1204,-3854,-132,-113,113,-3,343,-585
203,1468,1235,-3850,-100,-78,112,-3,343,-585
204,1516,1205,-3834,-61,-76,117,-3,343,-585
205,1461,1220,-3846,-2,-67,118,-3,343,-585
206,1449,1176,-3919,-1,-65,111,-3,343,-585
207,1460,1173,-3925,-14,-46,108,-3,343,-585
208,1532,1150,-3902,-52,-51,105,1,340,-584
209,1498,1216,-3894,-78,-6,104,1,340,-584
210,1524,1244,-3894,-65,48,97,1,340,-584
211,1492,1255,-3896,-22,102,84,1,340,-584
212,1494,1241,-3836,32,186,75,1,340,-584
213,1450,1234,-3884,95,327,75,1,340,-584
214,1442,1276,-3802,195,568,56,1,340,-584
215,1466,1248,-3810,286,773,15,1,340,-584
216,1367,1268,-3726,390,1147,-2,1,340,-584
217,1245,1285,-3659,654,1818,29,1,340,-584
218,1311,1250,-3633,1044,2613,138,1,340,-584
219,1335,1225,-3788,1444,3491,133,1,340,-584
220,1411,1197,-3702,1624,4341,28,1,340,-584
221,1644,1128,-3763,1703,5035,-49,1,340,-584
222,1583,1239,-3649,1807,5571,-224,1,340,-584
223,1638,1235,-3750,2123,6360,-297,1,340,-584
224,1896,1025,-3768,2415,6982,-384,1,340,-584
225,2030,1038,-3803,2707,7561,-487,51,315,-584
226,2132,985,-3980,2964,8268,-588,51,315,-584
227,2338,912,-3976,2936,8954,-730,51,315,-584
228,2490,951,-4095,2981,9578,-930,51,315,-584
229,2713,950,-3997,3084,10169,-1102,51,315,-584
230,2851,1022,-4029,3271,10635,-1208,51,315,-584
231,4104,1002,-4343,4949,10135,-1017,51,315,-584
232,3449,1193,-4651,5256,10638,-1411,51,315,-584
233,3490,633,-3035,5445,11669,-1910,51,315,-584
234,3569,455,-2245,5166,12371,-1856,51,315,-584
235,2668,719,-2320,5189,14154,-1822,51,315,-584
236,3077,819,-2264,5142,15576,-1934,51,315,-584
237,4091,1145,-2703,4979,16068,-2101,51,315,-584
238,3055,1347,-2711,4702,16498,-2467,51,315,-584
239,4025,732,-2401,3831,16483,-2665,51,315,-584
