,ax,ay,az,gx,gy,gz,cx,cy,cz
1,1877,245,-3780,-96,-121,-94,54,208,-650
2,1860,223,-3848,-75,-90,-85,54,208,-650
3,1862,219,-3937,-37,-118,-53,54,208,-650
4,1869,200,-4029,-9,-172,-33,54,208,-650
5,1880,201,-4088,-22,-239,-4,54,208,-650
6,1923,192,-4073,-99,-306,19,54,208,-650
7,1970,272,-3984,-196,-344,25,54,208,-650
8,1980,302,-3865,-259,-332,9,54,208,-650
9,1969,330,-3830,-291,-321,-13,54,208,-650
10,1955,413,-3775,-289,-261,-30,54,208,-650
11,1948,435,-3726,-271,-192,-76,54,208,-650
12,1926,482,-3703,-257,-129,-119,47,208,-645
13,1901,509,-3753,-232,-64,-159,47,208,-645
14,1876,494,-3757,-191,-40,-191,47,208,-645
15,1900,521,-3755,-159,-26,-221,47,208,-645
16,1891,488,-3716,-102,-13,-250,47,208,-645
17,1903,465,-3714,-71,-5,-270,47,208,-645
18,1911,393,-3625,-97,16,-279,47,208,-645
19,1897,378,-3609,-145,77,-281,47,208,-645
20,1891,411,-3558,-178,169,-280,47,208,-645
21,1860,463,-3597,-158,263,-301,47,208,-645
22,1936,482,-3685,-105,320,-332,47,208,-645
23,1916,492,-3783,-39,309,-354,47,208,-645
24,1917,453,-3914,17,280,-373,47,208,-645
25,1927,404,-4069,44,216,-396,47,208,-645
26,1965,364,-4107,62,116,-407,47,208,-645
27,1957,256,-4112,12,28,-408,47,208,-645
28,1986,208,-4096,-63,-41,-410,47,208,-645
29,1945,176,-4024,-137,-68,-402,41,218,-651
30,1913,194,-4013,-169,-70,-382,41,218,-651
31,1935,193,-3980,-171,-67,-367,41,218,-651
32,1888,186,-3952,-194,-66,-339,41,218,-651
33,1865,233,-3936,-195,-84,-317,41,218,-651
34,1915,268,-3920,-212,-85,-294,41,218,-651
35,1899,295,-3893,-220,-98,-289,41,218,-651
36,1911,305,-3858,-215,-96,-287,41,218,-651
37,1915,318,-3801,-166,-78,-286,41,218,-651
38,1900,290,-3832,-105,-74,-282,41,218,-651
39,1884,287,-3896,-45,-55,-279,41,218,-651
40,1893,296,-3877,-3,-41,-274,41,218,-651
41,1885,266,-3893,38,-32,-261,41,218,-651
42,1869,243,-3949,56,-33,-250,41,218,-651
43,1869,257,-3971,76,-37,-228,41,218,-651
44,1878,225,-4015,89,-61,-221,41,218,-651
45,1865,259,-4090,84,-88,-210,47,211,-650
46,1901,240,-3977,48,-123,-207,47,211,-650
47,1916,190,-3902,0,-153,-210,47,211,-650
48,1884,138,-3826,-19,-146,-187,47,211,-650
49,1834,67,-3836,-3,-95,-165,47,211,-650
50,1823,44,-3823,-23,-51,-124,47,211,-650
51,1795,49,-3913,-69,0,-82,47,211,-650
52,1804,87,-3924,-114,24,-55,47,211,-650
53,1862,134,-3972,-145,55,-38,47,211,-650
54,1892,226,-3990,-143,42,-33,47,211,-650
55,1899,257,-3988,-118,13,-42,47,211,-650
56,1844,233,-3975,-92,-5,-45,47,211,-650
57,1834,237,-3967,-64,-32,-28,47,211,-650
58,1825,191,-3938,-39,-64,-10,47,211,-650
59,1832,169,-3968,-50,-76,5,47,211,-650
60,1863,169,-3916,-101,-69,24,47,211,-650
61,1877,207,-3928,-175,-68,29,42,214,-647
62,1859,255,-3875,-212,-37,38,42,214,-647
63,1870,315,-3895,-198,-13,34,42,214,-647
64,1893,325,-3908,-178,8,25,42,214,-647
65,1915,341,-3892,-151,9,16,42,214,-647
66,1901,372,-3924,-144,10,2,42,214,-647
67,1886,375,-3951,-133,13,6,42,214,-647
68,1902,416,-4005,-123,22,-3,42,214,-647
69,1889,425,-3978,-104,19,-24,42,214,-647
70,1877,442,-4030,-35,-10,-41,42,214,-647
71,1878,394,-4047,15,-67,-46,42,214,-647
72,1880,341,-4070,11,-128,-24,42,214,-647
73,1922,283,-3947,-61,-173,-15,42,214,-647
74,1894,291,-3827,-156,-197,4,42,214,-647
75,1875,351,-3744,-180,-146,17,42,214,-647
76,1878,374,-3697,-164,-81,16,42,214,-647
77,1893,413,-3653,-96,-28,13,42,214,-647
78,1892,432,-3719,-12,19,-10,39,223,-646
79,1878,454,-3810,64,50,-18,39,223,-646
80,1885,436,-3990,124,45,-39,39,223,-646
81,1931,378,-4033,99,-5,-41,39,223,-646
82,1888,383,-4048,25,-65,-55,39,223,-646
83,1882,392,-3961,-35,-98,-69,39,223,-646
84,1878,320,-3838,-72,-120,-81,39,223,-646
85,1875,308,-3772,-104,-117,-63,39,223,-646
86,1812,281,-3740,-145,-78,-36,39,223,-646
87,1825,292,-3684,-139,-18,-16,39,223,-646
88,1794,311,-3710,-111,60,8,39,223,-646
89,1801,322,-3785,-61,110,26,39,223,-646
90,1844,320,-3825,-2,120,46,39,223,-646
91,1838,318,-3969,57,82,56,39,223,-646
92,1871,297,-4051,85,30,67,39,223,-646
93,1865,238,-4084,69,-37,83,39,223,-646
94,1909,223,-4095,10,-90,105,46,213,-649
95,1903,228,-3995,-62,-110,119,46,213,-649
96,1904,243,-3935,-127,-71,103,46,213,-649
97,1936,313,-3856,-181,-34,91,46,213,-649
98,1918,335,-3832,-195,7,67,46,213,-649
99,1916,377,-3825,-169,37,36,46,213,-649
100,1905,380,-3916,-139,68,15,46,213,-649
101,1867,361,-3975,-100,46,-8,46,213,-649
102,1886,359,-3969,-93,37,-19,46,213,-649
103,1867,339,-3923,-110,31,-27,46,213,-649
104,1852,301,-3854,-109,31,-34,46,213,-649
105,1830,308,-3784,-101,54,-25,46,213,-649
106,1809,338,-3724,-60,95,-16,46,213,-649
107,1845,329,-3728,-23,115,-15,46,213,-649
108,1835,314,-3742,12,137,-3,46,213,-649
109,1857,291,-3772,29,159,3,46,213,-649
110,1862,270,-3801,41,168,11,46,213,-649
111,1827,252,-3917,74,159,19,44,212,-645
112,1845,246,-3960,97,133,26,44,212,-645
